Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8972482540011406,4,132
2005.0,0.019009820554344754,4,134
2010.0,0.864183617522765,4,132
2015.0,0.9212682583841173,3,134
2020.0,1.9973859918538774,4,132
2025.0,0.8972478094473482,4,135
2030.0,1.2736887831472221,4,132
2035.0,0.057896430692516064,4,134
2040.0,0.043524464056582064,4,132
2045.0,0.038451553888424105,4,134
2050.0,0.9142776221726973,5,133
2055.0,1.269644367338549,4,135
2060.0,0.8805480592497145,4,131
2065.0,0.8938874273300171,4,134
2070.0,0.019009820554344754,3,132
2075.0,0.8839084957929526,4,135
2080.0,0.8972480317242444,5,132
2085.0,0.016929230793053928,3,134
2090.0,0.0,4,132
2095.0,0.8938874273300171,5,135
2100.0,1.2475166292702835,4,131
2105.0,1.9930355886130573,5,135
2110.0,0.0,4,132
2115.0,0.03787787061112015,4,134
2120.0,0.021680168560769222,3,131
2125.0,0.019009820554344754,4,134
2130.0,0.021357052332152,4,131
2135.0,0.9107889802445222,5,134
2140.0,0.019009820554344754,4,130
2145.0,0.019153162786920426,4,133
2150.0,2.5544352902517984,4,132
2155.0,1.26890002092999,4,134
2160.0,0.8972478094473482,5,131
2165.0,0.038451553888424105,4,133
2170.0,0.9107889802445222,5,132
2175.0,0.9006339756846428,4,134
2180.0,0.864369658213796,4,132
2185.0,0.9006339756846428,4,134
2190.0,0.9455501987008421,4,131
2195.0,0.8972482540011406,4,133
2200.0,0.8972482540011406,4,131
2205.0,1.7777445281020412,5,134
2210.0,0.8772775663562155,4,132
2215.0,0.9142776221726973,4,134
2220.0,0.019153162786920426,4,132
2225.0,0.0,5,135
2230.0,0.016929230793053928,5,131
2235.0,0.9316316765541611,4,134
2240.0,0.9108922733537238,4,132
2245.0,0.8704831853750462,4,134
2250.0,0.0,5,132
2255.0,1.2543903920457187,4,135
2260.0,0.0,4,132
2265.0,0.9006339756846428,5,135
2270.0,0.9040454814881087,4,132
2275.0,0.0,4,135
2280.0,0.0,4,132
2285.0,1.2741513094793935,4,135
2290.0,0.9006339756846428,4,132
2295.0,0.0,4,134
2300.0,1.2736887831472221,4,132
2305.0,1.2568050060066498,3,134
2310.0,1.9789697937824982,4,132
2315.0,0.0,4,135
2320.0,1.2929871742487258,4,132
2325.0,0.8871940222965745,3,134
2330.0,0.9006339756846428,4,132
2335.0,0.03816298334126517,2,134
2340.0,0.9040454814881087,4,132
2345.0,1.8012679513692855,3,134
2350.0,0.9282570315433534,4,131
2355.0,1.2789809714228395,3,134
2360.0,0.8905040197801595,4,132
2365.0,0.8905040197801595,4,134
2370.0,0.016929230793053928,4,132
2375.0,1.2736887831472221,4,134
2380.0,0.8839084957929526,4,132
2385.0,0.0,4,135
2390.0,1.3121673718604976,5,132
2395.0,0.8772775663562155,4,135
2400.0,0.9006339756846428,5,132
2405.0,0.016929230793053928,4,135
2410.0,0.9316316765541611,4,132
2415.0,0.0,3,134
2420.0,0.01929839110150367,3,132
2425.0,0.9108922733537238,4,133
2430.0,0.8840715535918634,5,132
2435.0,0.01929839110150367,3,135
2440.0,1.8012679513692855,4,132
2445.0,0.0,4,134
2450.0,0.8838082521348215,4,131
2455.0,1.2714051766488714,4,135
2460.0,0.016802399596062105,4,132
2465.0,0.0,4,134
2470.0,0.8871940222965745,4,133
2475.0,0.9074291877280048,4,135
2480.0,0.864369658213796,5,132
2485.0,0.016929230793053928,4,134
2490.0,0.8972482540011406,5,132
2495.0,0.019009820554344754,4,133
2500.0,0.8838082521348215,4,132
2505.0,1.266704416154687,4,135
2510.0,1.26890002092999,4,131
2515.0,0.8972478094473482,4,135
2520.0,0.9212682583841173,5,133
2525.0,2.0138787924767536,4,134
2530.0,0.01929839110150367,5,133
2535.0,2.6816209078680617,4,135
2540.0,0.0,4,132
2545.0,0.9006339756846428,4,135
2550.0,0.8972478094473482,5,132
2555.0,0.0,4,134
2560.0,1.99117988202631,4,132
2565.0,1.2714769967650328,4,135
2570.0,0.9142776221726973,4,132
2575.0,0.9006339756846428,4,134
2580.0,0.9006339756846428,4,131
2585.0,0.023941925004152424,4,134
2590.0,0.8838082521348215,4,132
2595.0,0.019009820554344754,4,134
2600.0,0.8972482540011406,6,132
2605.0,0.038451553888424105,5,134
2610.0,1.2689003352770303,4,132
2615.0,1.2497468581430697,3,135
2620.0,1.2543903920457187,5,132
2625.0,0.0,4,134
