Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.013602899893989,17,145
2005.0,0.9033431637743488,17,147
2010.0,0.9002496267668902,18,144
2015.0,0.8525715701747802,17,147
2020.0,0.9002496267668902,17,145
2025.0,1.2731452316950531,16,147
2030.0,0.0738695676203442,18,145
2035.0,0.1449416493063589,17,147
2040.0,0.9508461100981003,17,144
2045.0,0.07336546138262312,17,148
2050.0,0.0738695676203442,17,145
2055.0,0.8971766545828432,17,147
2060.0,1.273144539241618,17,144
2065.0,0.0,18,147
2070.0,0.0,17,145
2075.0,1.808136223211029,18,146
2080.0,0.0738695676203442,18,145
2085.0,1.273144539241618,17,147
2090.0,0.07607281447233852,17,145
2095.0,1.275285704663339,17,148
2100.0,1.7517893299906993,18,145
2105.0,0.07336546138262312,17,148
2110.0,1.0097411313198466,18,145
2115.0,0.0738695676203442,17,147
2120.0,0.07555396296834203,17,145
2125.0,0.8029171620695494,17,147
2130.0,0.8492874238157728,18,145
2135.0,0.07659447421427203,17,147
2140.0,0.8551440705012952,18,145
2145.0,0.0738695676203442,18,147
2150.0,0.0743750587653118,18,145
2155.0,0.0743750587653118,17,146
2160.0,0.9573798396710222,18,144
2165.0,1.273144539241618,17,147
2170.0,0.9033431637743488,17,144
2175.0,0.07607281447233852,17,147
2180.0,1.8004982742564752,17,144
2185.0,0.0,17,147
2190.0,0.8436866292558172,18,145
2195.0,0.15162677744043096,17,148
2200.0,0.0,18,144
2205.0,1.286741282576125,17,147
2210.0,0.7651231468565972,18,146
2215.0,0.07607281447233852,18,148
2220.0,1.2688912326508293,17,146
2225.0,0.9002486474895849,17,147
2230.0,0.0717295680668292,17,145
2235.0,0.8465559638966988,17,147
2240.0,1.013602899893989,17,145
2245.0,0.9539134792044616,17,147
2250.0,0.8971766545828432,17,145
2255.0,0.9539134792044616,17,147
2260.0,1.273144539241618,17,145
2265.0,0.9542909887892503,17,148
2270.0,0.07607281447233852,17,145
2275.0,0.8465559638966988,16,147
2280.0,0.9002496267668902,17,145
2285.0,0.9002486474895849,17,147
2290.0,0.0,17,144
2295.0,0.7992557330687637,17,147
2300.0,0.8053684119493012,17,143
2305.0,0.8971766545828432,17,147
2310.0,1.2666105685053695,17,144
2315.0,1.2731452316950531,17,146
2320.0,0.7968448611921904,18,144
2325.0,0.9002486474895849,17,147
2330.0,0.9002496267668902,18,144
2335.0,0.8521898262664972,17,147
2340.0,0.0738695676203442,18,144
2345.0,0.14723502900296734,18,147
2350.0,0.9539134792044616,18,144
2355.0,0.9504706693548478,17,146
2360.0,0.0738695676203442,18,144
2365.0,0.8465559638966988,18,146
2370.0,1.3497095240556516,18,145
2375.0,1.013602899893989,18,147
2380.0,1.286092006190467,17,145
2385.0,0.0743750587653118,17,147
2390.0,1.3518952124520158,18,144
2395.0,0.0,17,148
2400.0,0.8496231021642039,17,143
2405.0,0.9002496267668902,17,147
2410.0,0.0,17,144
2415.0,0.9542909887892503,17,148
2420.0,0.14723502900296734,18,144
2425.0,0.0738695676203442,17,147
2430.0,0.8971776338601485,18,144
2435.0,0.07659447421427203,17,147
2440.0,1.9082259497685454,18,144
2445.0,0.0738695676203442,18,146
2450.0,0.9539134792044616,17,143
2455.0,0.8465559638966988,17,147
2460.0,0.0743750587653118,17,144
2465.0,0.9539134792044616,18,147
2470.0,1.2775194612332683,17,144
2475.0,0.8971766545828432,17,147
2480.0,0.9539134792044616,18,144
2485.0,0.9506421007404359,17,147
2490.0,2.5550396149198784,17,144
2495.0,0.8492874238157728,17,147
2500.0,1.013602899893989,18,144
2505.0,0.8492874238157728,17,146
2510.0,0.0,18,144
2515.0,0.8467510614639908,17,146
2520.0,0.1537181627174884,18,145
2525.0,1.2687993927555785,18,147
2530.0,0.1526672886831524,17,144
2535.0,1.9389754734324964,17,147
2540.0,0.07659447421427203,18,144
2545.0,0.9002486474895849,17,147
2550.0,0.9575548138474003,18,145
2555.0,0.0,17,148
2560.0,0.9002486474895849,18,145
2565.0,1.3470134144081507,17,147
2570.0,0.8494846628194351,17,145
2575.0,0.9569808779740955,17,147
2580.0,0.07607281447233852,18,145
2585.0,0.8498174955909366,18,147
2590.0,0.1537181627174884,17,144
2595.0,0.8467510614639908,17,147
2600.0,0.8971766545828432,18,144
2605.0,1.2687993927555785,18,147
2610.0,0.8971766545828432,17,145
2615.0,1.277628129110267,17,147
2620.0,0.07821402165257242,18,144
2625.0,0.8498174955909366,18,147
2630.0,0.0,18,144
2635.0,0.0,17,147
2640.0,0.9504706693548478,17,144
2645.0,1.8004972949791698,17,147
2650.0,0.07659447421427203,17,145
2655.0,0.8498174955909366,17,148
2660.0,0.9504706693548478,18,144
2665.0,0.0776808323626751,17,147
2670.0,0.07821402165257242,17,144
2675.0,0.0,18,146
2680.0,1.013602899893989,18,144
2685.0,0.8971766545828432,17,148
2690.0,1.2732443649184602,17,145
2695.0,0.9539134792044616,18,147
2700.0,0.8941252264995128,18,144
2705.0,0.8467510614639908,18,147
2710.0,0.9002486474895849,18,145
2715.0,0.9033431637743488,17,148
2720.0,0.8496231021642039,18,144
2725.0,0.7944495214437906,17,146
2730.0,1.193278196647844,17,144
2735.0,0.9033431637743488,17,147
2740.0,0.8465559638966988,18,144
2745.0,0.0,17,147
2750.0,1.2732443649184602,17,143
2755.0,0.0,17,147
2760.0,1.9467350681228797,18,144
2765.0,0.8523750454796721,17,146
2770.0,0.0738695676203442,17,145
2775.0,0.8553425605903147,17,147
2780.0,0.9033431637743488,17,144
2785.0,0.1526672886831524,16,147
2790.0,1.275285704663339,17,145
2795.0,0.7992557330687637,17,147
2800.0,1.2729929409856904,17,144
2805.0,0.9504706693548478,17,147
2810.0,0.8053684119493012,18,144
2815.0,1.6989310093756111,17,147
2820.0,0.0,17,144
2825.0,2.013018486277379,17,146
2830.0,0.0,17,145
2835.0,0.0743750587653118,17,147
2840.0,0.9033421844970435,17,145
2845.0,0.9002496267668902,16,147
2850.0,1.0074696574676991,17,144
2855.0,0.0,17,147
2860.0,0.8053684119493012,17,145
2865.0,0.8971766545828432,17,147
2870.0,0.8971766545828432,17,145
2875.0,0.14824462638565603,17,147
2880.0,0.9002486474895849,17,145
2885.0,0.9542909887892503,17,147
2890.0,0.8016804574813413,16,144
